scorer,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000,DLC_resnet50_JonsLivingRoomJun16shuffle1_150000
bodyparts,orangeBall,orangeBall,orangeBall,greenBall,greenBall,greenBall,pinkBall,pinkBall,pinkBall
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,575.602294921875,1801.210205078125,0.9989606738090515,640.389892578125,1630.987060546875,0.9999998807907104,577.2057495117188,1697.119873046875,0.9999999403953552
1,-0.23424434661865234,2.0138301849365234,1.4573335647583008e-05,1095.1337890625,1715.034423828125,1.582503318786621e-05,1095.933349609375,1833.5294189453125,1.436471939086914e-05
2,575.3941650390625,1804.1103515625,0.9998016357421875,640.129150390625,1631.09765625,0.9999998807907104,576.8589477539062,1697.9034423828125,0.9999997615814209
3,575.8263549804688,1804.0574951171875,0.9998182058334351,640.1524047851562,1631.189453125,0.9999999403953552,576.4468994140625,1697.702880859375,0.9999997615814209
4,575.8336791992188,1804.0855712890625,0.9998190402984619,640.1520385742188,1631.1859130859375,0.9999998807907104,576.435302734375,1697.637939453125,0.9999998211860657
5,575.9403076171875,1804.0570068359375,0.999847412109375,640.1531982421875,1631.1839599609375,0.9999998807907104,576.4890747070312,1697.668701171875,0.9999997615814209
6,574.9908447265625,1804.003662109375,0.9945499897003174,640.5611572265625,1630.9647216796875,0.9999998807907104,575.8261108398438,1698.071044921875,0.9999997615814209
7,574.874267578125,1803.9451904296875,0.9945387244224548,640.5801391601562,1630.9825439453125,0.9999998807907104,575.86328125,1698.1082763671875,0.9999998807907104
8,574.7840576171875,1803.734375,0.9941036701202393,640.622802734375,1630.9349365234375,0.9999998211860657,575.9915771484375,1698.3040771484375,0.9999998211860657
9,573.5646362304688,1805.0443115234375,0.9919358491897583,640.5798950195312,1630.8521728515625,0.9999998807907104,575.59423828125,1698.36474609375,0.9999998211860657
10,573.4340209960938,1804.935791015625,0.9916461706161499,640.733642578125,1630.73779296875,0.9999998211860657,575.6007690429688,1698.5426025390625,0.9999998807907104
11,573.1651611328125,1804.781982421875,0.9917452335357666,640.591552734375,1630.7674560546875,0.9999999403953552,575.9766235351562,1698.3043212890625,0.9999997615814209
12,573.587646484375,1804.715576171875,0.984309196472168,640.6012573242188,1630.8251953125,0.9999998211860657,576.1364135742188,1698.1644287109375,0.9999997615814209
13,573.86474609375,1803.5557861328125,0.9797693490982056,640.6392822265625,1630.822265625,0.9999998211860657,576.014892578125,1698.03076171875,0.9999997615814209
14,573.642333984375,1804.7596435546875,0.9760178327560425,640.64208984375,1630.843017578125,0.9999998211860657,576.2021484375,1697.9537353515625,0.9999997615814209
15,573.640625,1809.8809814453125,0.8294957876205444,640.6922607421875,1630.91943359375,0.9999999403953552,576.2172241210938,1697.9486083984375,0.9999997615814209
16,573.7730102539062,1809.93701171875,0.8838289976119995,640.6666259765625,1630.9326171875,0.9999999403953552,576.036865234375,1697.9129638671875,0.9999997615814209
17,573.8723754882812,1809.80029296875,0.9100816249847412,640.6329956054688,1630.9769287109375,0.9999998807907104,576.290771484375,1697.9046630859375,0.9999998211860657
18,574.2327880859375,1803.68408203125,0.9323829412460327,640.6144409179688,1630.954345703125,0.9999998807907104,576.3565673828125,1697.87255859375,0.9999998807907104
19,573.7152099609375,1803.98876953125,0.9689340591430664,640.6112060546875,1631.036865234375,0.9999998807907104,576.419677734375,1698.218017578125,0.9999998807907104
20,573.5430297851562,1803.996826171875,0.9727935194969177,640.6175537109375,1630.967529296875,0.9999998807907104,576.4305419921875,1698.142822265625,0.9999998807907104
21,573.8203735351562,1803.88818359375,0.969355583190918,640.7183837890625,1630.99072265625,0.9999998807907104,576.4680786132812,1698.1943359375,0.9999998807907104
22,574.1434936523438,1804.161865234375,0.9554851055145264,640.7330322265625,1631.076904296875,0.9999999403953552,576.5291748046875,1698.2099609375,0.9999999403953552
23,575.6661376953125,1824.884765625,0.929297685623169,640.5848999023438,1631.0235595703125,0.9999998807907104,576.1696166992188,1698.1973876953125,0.9999998807907104
